id,mz,diff,reference,formula,formula_isotopefree,formula_ion,homseries,totalc,H.C,O.C,C,H,O,N,S,P,Heteroatoms,MDL_2.5,ResPow,SE,present_in,AI,AI.mod,DBE,Aromatic,Aromatic.O_rich,Aromatic.O_poor,Highly.unsaturated,Highly.unsaturated.O_rich,Highly.unsaturated.O_poor,Unsaturated,Unsaturated.O_rich,Unsaturated.O_poor,Unsaturated.with.N,Saturated,Saturated.O_rich,Saturated.O_poor,Molecular.class,mean_signal_to_MDL,isoratioC13.1,isoratioC13.2,isoratio_O18,isoratioS34,isoratioN15,isorat_sdC13.1,isorat_sdC13.2,isorat_sd_O18,isorat_sd_S34,isorat_sd_N15,homnetworkmember,mean_of_ratio_deviance,diff_filter
0,154.9986051,0.05403,156.0058731,C_6 H_4 O_5,C6H4O5,C_6 H_3 O_5,54,6,0.667,0.833,6,4,5,0,0,0,0,1144795.759,1172876.308,0.130548202,39,0,0.71,5,1,1,0,0,0,0,0,0,0,0,0,0,0,Condensed aromatic,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Inf,FALSE
0,155.034981,0.0066456,156.0422585,C_7 H_8 O_4,C7H8O4,C_7 H_7 O_4,33,7,1.143,0.571,7,8,4,0,0,0,0,1144795.759,1032056.154,0.11552132,78,0,0.4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,Highly unsaturated,4.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,Inf,FALSE
0,155.0713662,0.0077205,156.0786439,C_8 H_12 O_3,C8H12O3,C_8 H_11 O_3,20,8,1.5,0.375,8,12,3,0,0,0,0,1144795.759,1038147.904,0.112733783,83,0,0.23,3,0,0,0,0,0,0,1,0,1,0,0,0,0,Unsaturated,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,Inf,FALSE
0,155.107752,0.0051821,156.1150292,C_9 H_16 O_2,C9H16O2,C_9 H_15 O_2,7,9,1.778,0.222,9,16,2,0,0,0,0,1144795.759,1165315.588,0.12569069,51,0,0.12,2,0,0,0,0,0,0,1,0,1,0,0,0,0,Unsaturated,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,Inf,FALSE
0,157.0870877,0.4444687,158.0942939,C_8 H_14 O_3,C8H14O3,C_8 H_13 O_3,19,8,1.75,0.375,8,14,3,0,0,0,0,1146131.731,1134504.744,0.465622185,39,0,0.08,2,0,0,0,0,0,0,1,0,1,0,0,0,0,Unsaturated,3.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,Inf,FALSE
0,158.0822637,0.0170596,159.0895429,C_7 H_13 O_3 N_1,C7H13NO3,C_7 H_12 O_3 N_1,6,7,1.857,0.429,7,13,3,1,0,0,1,1146800.301,1066908,0.112153304,25,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,Unsaturated,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1085,Inf,FALSE
0,159.0299018,0.03223,160.0371731,C_6 H_8 O_5,C6H8O5,C_6 H_7 O_5,42,6,1.333,0.833,6,8,5,0,0,0,0,1147469.261,988931.3676,0.227971799,68,0,0.14,3,0,0,0,1,1,0,0,0,0,0,0,0,0,Highly unsaturated,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,Inf,FALSE
0,159.0451774,0.1534934,160.0524292,C_10 H_8 O_2,C10H8O2,C_10 H_7 O_2,11,10,0.8,0.2,10,8,2,0,0,0,0,1147469.261,1169433.421,0.414369854,19,0.62,0.67,7,1,0,1,0,0,0,0,0,0,0,0,0,0,Condensed aromatic,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,Inf,FALSE
0,161.0607923,0.0645346,162.0680792,C_10 H_10 O_2,C10H10O2,C_10 H_9 O_2,11,10,1,0.2,10,10,2,0,0,0,0,1148808.353,985730.0833,0.252411192,84,0.5,0.56,6,1,0,1,0,0,0,0,0,0,0,0,0,0,Aromatic,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,Inf,FALSE
0,161.0819316,0.002949,162.0892085,C_7 H_14 O_4,C7H14O4,C_7 H_13 O_4,21,7,2,0.571,7,14,4,0,0,0,0,1148808.353,926654.0313,0.233980276,64,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,Unsaturated,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,Inf,FALSE
0,162.0230325,0.0363491,163.0303149,C_5 H_9 O_3 N_1 S_1,C5H9NO3S,C_5 H_8 O_3 N_1 S_1,1,5,1.8,0.6,5,9,3,1,1,0,2,1149478.484,1033614.214,0.236530434,14,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,Unsaturated,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1290,Inf,FALSE
