Sample_ID,Tree_ID,Sample_type,Phylum,Class,Order,Family,Genus,Species,Latin,PhyloName,CommonName,Leaf_type,Tf_volume_mL,DOC_uM,DOC_mgL-1,DOCflux_mg,TDN_uM,TDN_mgL-1,TDNflux_mg,Comments,DBH_cm,Condition,Defects,Recommendation,Priority,Additional,Location,x,y,OL_dist,OL_angle,OL_sin,OL_cos,GL_dist,GL_angle,GL_sin,GL_cos,CR_dist,CR_angle,CR_sin,CR_cos,BLDG_dist,BLDG_angle,BLDG_sin,BLDG_cos,ROAD_dist,ROAD_angle,ROAD_sin,ROAD_cos,TRAIN_dist,TRAIN_angle,TRAIN_sin,TRAIN_cos
AC01,1259,Throughfall,Coniferophyta,Pinopsida,Pinales,Cupressaceae,Chamaecyparis,nootkatensis,Chamaecyparis nootkatensis,Callitropsis_nootkatensis_ott603160,Alaskan cedar,scales,308.4,#N/A,#N/A,#N/A,735.5667552,10.29793457,3.175883022,,6,Good,Canopy against building,Reduce from building,Low, ,Kerr Hall,-71.091429,42.342,713.994656,-43.747883,-0.691486365,0.722389512,351.135956,-61.628914,-0.879888482,0.475180239,732.593131,-42.096372,-0.670379635,0.742018291,3.941136,-25.051027,-0.423425242,0.905931048,24.264599,160.877188,0.327594099,-0.944818557,351.135956,-61.628914,-0.879888482,0.475180239
AC02,1105,Throughfall,Coniferophyta,Pinopsida,Pinales,Cupressaceae,Chamaecyparis,nootkatensis,Chamaecyparis nootkatensis,Callitropsis_nootkatensis_ott603160,Alaskan cedar,scales,347.7,940.092689,11.28111227,3.922442736,146.0248718,2.044348205,0.710819871,,12,Good,Multi lead. Canopy near school sign and over dwarf blue spruce,Maintain clearance from or move sign. Elevate over spruce,Low, ,Richards facing Dodge,-71.088645,42.340065,288.527246,-43.747883,-0.691486365,0.722389512,52.617948,118.375497,0.879851897,-0.475247977,307.193241,-42.096372,-0.670379635,0.742018291,5.78443,-151.917928,-0.470735838,-0.882274204,42.549406,120.345329,0.862996128,-0.505210533,52.617948,118.375497,0.879851897,-0.475247977
AC03,1081,Throughfall,Coniferophyta,Pinopsida,Pinales,Cupressaceae,Chamaecyparis,nootkatensis,Chamaecyparis nootkatensis,Callitropsis_nootkatensis_ott603160,Alaskan cedar,scales,124.1,#N/A,#N/A,#N/A,696.2974543,9.748164361,1.209747197,,9,Good,Canopy blocks school sign,Clear from sign,Low, ,Dodge facing Richards,-71.087931,42.340129,237.279713,-42.827272,-0.679790473,0.733406377,81.847232,118.375497,0.879851897,-0.475247977,254.75377,-42.096372,-0.670379635,0.742018291,5.494216,28.081165,0.470721872,0.882281655,59.026303,-7.157156,-0.124591326,0.992208144,81.847232,118.375497,0.879851897,-0.475247977
AH01,1399,Throughfall,Anthophyta,Dicotyledoneae,Celastrales,Aquifoliaceae,Ilex,opaca,Ilex opaca,Ilex_opaca_ott660052,American holly,leaves,213.7,1602.704642,19.2324557,4.109975784,2842.31173,39.79236421,8.503628233,,6,Good,Multi lead,None,None at this time, ,White Hall courtyard,-71.091132,42.339826,462.33279,-48.032866,-0.74352853,0.668704214,48.887296,-50.597269,-0.772703318,0.634767345,489.236436,-41.382452,-0.661082098,0.750313575,1.208241,-115.196703,-0.904851552,-0.425727224,23.590938,-115.062323,-0.905847552,-0.42360384,48.887296,-50.597269,-0.772703318,0.634767345
AH02,718,Throughfall,Anthophyta,Dicotyledoneae,Celastrales,Aquifoliaceae,Ilex,opaca,Ilex opaca,Ilex_opaca_ott660052,American holly,leaves,324.8,960.0050586,11.5200607,3.741715716,247.8721619,3.470210267,1.127124295,,6,Good,Tri lead near base,None,None at this time, ,Churchill facing Natatorium,-71.08914,42.338822,198.906556,-43.719651,-0.69113033,0.722730148,191.144586,118.371086,0.879888482,-0.475180239,222.745866,-41.382452,-0.661082098,0.750313575,3.895899,-61.826719,-0.881523723,0.472139731,33.72463,116.839795,0.892272444,-0.451497381,191.144586,118.371086,0.879888482,-0.475180239
BG01,660,Throughfall,Anthophyta,Dicotyledoneae,Cornales,Nyssaceae,Nyssa,sylvatica,Nyssa sylvatica,Nyssa_sylvatica_ott671013,Black gum,leaves,421.6,861.7859566,10.34143148,4.359947512,152.519687,2.135275619,0.900232201,,3,Good,None,None,None at this time, ,Cargill Hall near Forsyth,-71.09051,42.339189,344.704684,-48.032866,-0.74352853,0.668704214,69.150418,129.701134,0.769386912,-0.638783045,373.867054,-41.382452,-0.661082098,0.750313575,7.306811,-148.832572,-0.517540661,-0.855658614,13.963135,20.020213,0.34235163,0.939571903,69.150418,129.701134,0.769386912,-0.638783045
BG02,657,Throughfall,Anthophyta,Dicotyledoneae,Cornales,Nyssaceae,Nyssa,sylvatica,Nyssa sylvatica,Nyssa_sylvatica_ott671013,Black gum,leaves,500.1,#N/A,#N/A,#N/A,101.2796297,1.417914816,0.7090992,,3,Good,None,None,None at this time, ,Cargill Hall near Forsyth,-71.090484,42.339147,338.021317,-48.032866,-0.74352853,0.668704214,75.909021,129.701134,0.769386912,-0.638783045,367.457116,-42.345141,-0.67359503,0.739100626,6.953907,-160.340799,-0.336424774,-0.941710344,13.352786,20.020213,0.34235163,0.939571903,75.909021,129.701134,0.769386912,-0.638783045
BG03,654,Throughfall,Anthophyta,Dicotyledoneae,Cornales,Nyssaceae,Nyssa,sylvatica,Nyssa sylvatica,Nyssa_sylvatica_ott671013,Black gum,leaves,229.6,1496.396908,17.9567629,4.122872761,269.0124088,3.766173724,0.864713487,,3,Good,None,None,None at this time, ,Cargill Hall near Forsyth,-71.090447,42.339094,329.268511,-47.933885,-0.742372205,0.669987694,84.747469,129.701134,0.769386912,-0.638783045,358.977503,-42.345141,-0.67359503,0.739100626,7.509555,-152.299277,-0.464853218,-0.88538776,12.239347,20.020213,0.34235163,0.939571903,84.747469,129.701134,0.769386912,-0.638783045
CP01,222,Throughfall,Anthophyta,Dicotyledoneae,Rosales,Rosaceae,Pyrus,calleryana,Pyrus calleryana,Pyrus_calleryana_ott217646,Callery pear,leaves,503,347.0381291,4.164457549,2.094722147,68.80919288,0.9633287,0.484554336,,13,Good,Weakly attached large diameter limbs,Reduce large diameter limbs,Medium, ,West Village A courtyard,-71.092737,42.337571,360.703539,-40.252394,-0.646155869,0.763205472,166.472052,118.344915,0.880105438,-0.474778282,393.420882,-43.850227,-0.692775622,0.7211532,19.944196,165.385218,0.252319014,-0.967644106,11.250811,162.684886,0.297626719,-0.954682322,166.472052,118.344915,0.880105438,-0.474778282
CP02,492,Throughfall,Anthophyta,Dicotyledoneae,Rosales,Rosaceae,Pyrus,calleryana,Pyrus calleryana,Pyrus_calleryana_ott217646,Callery pear,leaves,482.3,482.897184,5.794766208,2.794815742,18.95591769,0.265382848,0.127994147,,15,Fair,Large diameter limbs,Reduce large diameter limbs,Medium, ,Shillman,-71.090518,42.33738,154.437124,-42.085359,-0.670236997,0.742147133,305.418009,118.199441,0.881308062,-0.472542167,191.244295,-40.495301,-0.649385683,0.760459226,8.395634,57.178722,0.840365371,0.542020335,63.223057,176.895529,0.054156732,-0.998532447,154.437124,-42.085359,-0.670236997,0.742147133
