"Sample_ID","NMDS1","NMDS2","NMDS3","Sample_type","Phylum","Class","Order","Family","Genus","Species","Common_name","Leaf_type","DOC(uM)","TDN(uM)","Tf_volume(mL)","DOCflux(mg)","TDNflux(mg)","Comments","TreeID","Tree_DBH(cm)","Road_distance","Road_direction","Building_distance","Building_direction","Train_distance","Train_direction"
"AC01",-0.929176743259169,0.171814472176179,-0.356713832145871,"Throughfall","Coniferophyta","Pinopsida","Pinales","Cupressaceae","Chamaecyparis","nootkatensis","Alaska cedar","scales",NA,NA,NA,NA,NA,NA,1259,NA,NA,NA,NA,NA,NA,NA
"AC02",0.257901220079594,0.1781555862071,-0.0264398606346492,"Throughfall","Coniferophyta","Pinopsida","Pinales","Cupressaceae","Chamaecyparis","nootkatensis","Alaska cedar","scales",940.092689,NA,NA,NA,NA,NA,1105,NA,NA,NA,NA,NA,NA,NA
"AC03",-0.587337274772358,0.297131870155231,-0.410002752903055,"Throughfall","Coniferophyta","Pinopsida","Pinales","Cupressaceae","Chamaecyparis","nootkatensis","Alaska cedar","scales",NA,NA,NA,NA,NA,NA,1081,NA,NA,NA,NA,NA,NA,NA
"AH01",0.218010840212623,-1.01149784133437,-0.642110685425099,"Throughfall","Anthophyta","Dicotyledoneae","Celastrales","Aquifoliaceae","Ilex","opaca","American holly","leaves",1602.704642,NA,NA,NA,NA,NA,1399,NA,NA,NA,NA,NA,NA,NA
"AH02",0.0364469124532986,-0.0856525944277062,-0.107126007707783,"Throughfall","Anthophyta","Dicotyledoneae","Celastrales","Aquifoliaceae","Ilex","opaca","American holly","leaves",960.0050586,NA,NA,NA,NA,NA,718,NA,NA,NA,NA,NA,NA,NA
"BG01",0.207117790847212,-0.0167889444346804,0.0355561172074929,"Throughfall","Anthophyta","Dicotyledoneae","Cornales","Nyssaceae","Nyssa","sylvatica","Black gum","leaves",861.7859566,NA,NA,NA,NA,NA,660,NA,NA,NA,NA,NA,NA,NA
"BG02",-0.828622560948292,-0.166123790375348,0.1726752672357,"Throughfall","Anthophyta","Dicotyledoneae","Cornales","Nyssaceae","Nyssa","sylvatica","Black gum","leaves",NA,NA,NA,NA,NA,NA,657,NA,NA,NA,NA,NA,NA,NA
"BG03",0.311307310952557,-0.051179092342615,0.059694131402093,"Throughfall","Anthophyta","Dicotyledoneae","Cornales","Nyssaceae","Nyssa","sylvatica","Black gum","leaves",1496.396908,NA,NA,NA,NA,NA,654,NA,NA,NA,NA,NA,NA,NA
"CP01",0.125907636307003,-0.0633988254730837,0.0231179127736294,"Throughfall","Anthophyta","Dicotyledoneae","Rosales","Rosaceae","Pyrus","calleryana","Callery pear","leaves",347.0381291,NA,NA,NA,NA,NA,222,NA,NA,NA,NA,NA,NA,NA
"CP02",0.15620802258015,-0.032736802813758,0.0498947705991674,"Throughfall","Anthophyta","Dicotyledoneae","Rosales","Rosaceae","Pyrus","calleryana","Callery pear","leaves",482.897184,NA,NA,NA,NA,NA,492,NA,NA,NA,NA,NA,NA,NA
"CP03",-0.751642080127297,-0.0651572112406768,0.00803735102853248,"Throughfall","Anthophyta","Dicotyledoneae","Rosales","Rosaceae","Pyrus","calleryana","Callery pear","leaves",NA,NA,NA,NA,NA,NA,523,NA,NA,NA,NA,NA,NA,NA
"DR01",0.283279766481759,0.0570946035991623,0.0677646903088227,"Throughfall","Coniferophyta","Pinopsida","Pinales","Cupressaceae","Metasequoia","glyptostroboides","Dawn redwood","needles",758.4825875,NA,NA,NA,NA,NA,813,NA,NA,NA,NA,NA,NA,NA
