"Ulmus_americana_ott706094","Zelkova_serrata_ott762463","Pyrus_calleryana_ott217646","Betula_papyrifera_ott267725","Betula_nigra_ott267696","Quercus_frainetto_ott1065845","Quercus_rubra_ott791115","Quercus_palustris_ott538292","Quercus_acutissima_ott272706","Fagus_sylvatica_ott774712","Gleditsia_triacanthos_ott677313","Acer_palmatum_ott506130","Acer_griseum_ott523216","Acer_rubrum_ott1039827","Acer_platanoides_ott948919","Koelreuteria_paniculata_ott463188","Tilia_cordata_ott218598","Cercidiphyllum_japonicum_ott324758","Liquidambar_styraciflua_ott62530","Ilex_opaca_ott660052","Cornus_kousa_ott22353","Cornus_florida_ott148264","Nyssa_sylvatica_ott671013","Magnolia_kobus_ott664531","Magnolia_stellata_ott664533","Magnolia_virginiana_ott863066","Juniperus_virginiana_ott78161","Callitropsis_nootkatensis_ott603160","Chamaecyparis_obtusa_ott324772","Thuja_occidentalis_ott463720","Metasequoia_glyptostroboides_ott47954","Pinus_resinosa_ott81207","Pinus_strobus_ott568616","Abies_concolor_ott876315"
0,1.10230325203668e-311,2.20373002255351e-311,5.50961855669776e-311,5.50961855669776e-311,6.61110269253741e-311,7.71329444542311e-311,7.71329444542311e-311,4.4083365266822e-311,4.40827021431274e-311,4.40820390588e-311,8.81467219162307e-311,9.91608894883043e-311,9.91608894888576e-311,8.81385200921854e-311,7.71325595248307e-311,6.61185708468722e-311,6.61397908034084e-311,6.61315837984129e-311,8.81551026343911e-311,9.91774722326915e-311,1.10199841628089e-310,9.91692650263445e-311,9.91781351550346e-311,9.91781351550346e-311,7.71333963617148e-311,1.43259405736728e-310,1.3223769946375e-310,1.32237036340056e-310,1.21206459940048e-310,1.10192297547818e-310,1.21214215073355e-310,1.10192508800377e-310,1.10200052682508e-310
1.10230325203668e-311,0,3.30590064985127e-311,6.61178918399553e-311,6.61178918399553e-311,7.71327331983518e-311,8.81546507272088e-311,8.81546507272088e-311,5.51050715397996e-311,5.51044084161051e-311,5.51037453317777e-311,9.91684281892084e-311,1.10182595761282e-310,1.10182595761835e-310,9.91602263651631e-311,8.81542657978084e-311,7.71402771198499e-311,7.71614970763861e-311,7.71532900713905e-311,9.91768089073688e-311,1.10199178505669e-310,1.21221547901067e-310,1.10190971299322e-310,1.10199841428012e-310,1.10199841428012e-310,8.81551026346925e-311,1.54281112009706e-310,1.43259405736728e-310,1.43258742613033e-310,1.32228166213026e-310,1.21214003820796e-310,1.32235921346333e-310,1.21214215073355e-310,1.21221758955486e-310
2.20373002255351e-311,3.30590064985127e-311,0,5.50872101225826e-311,5.50872101225826e-311,6.6102051480979e-311,7.7123969009836e-311,7.7123969009836e-311,4.40743898224269e-311,4.40737266987323e-311,4.40730636144049e-311,8.81377464718356e-311,9.91519140439092e-311,9.91519140444626e-311,8.81295446477903e-311,7.71235840804356e-311,6.61095954024772e-311,6.61308153590133e-311,6.61226083540178e-311,8.8146127189996e-311,9.91684967882965e-311,1.10190866183694e-310,9.91602895819494e-311,9.91691597106395e-311,9.91691597106395e-311,7.71244209173198e-311,1.43250430292333e-310,1.32228724019355e-310,1.32228060895661e-310,1.21197484495653e-310,1.10183322103423e-310,1.2120523962896e-310,1.10183533355982e-310,1.10191077238113e-310
5.50961855669776e-311,6.61178918399553e-311,5.50872101225826e-311,0,2.20447387933444e-311,5.50878732468305e-311,6.61097907756875e-311,6.61097907756875e-311,3.30602115882783e-311,3.30595484645838e-311,5.50872101625031e-311,9.91518930199338e-311,1.10166060592007e-310,1.10166060592561e-310,9.91436911958885e-311,8.81377306285338e-311,7.71237419505753e-311,7.71449619071114e-311,7.71367549021159e-311,9.91602737380942e-311,1.10182643336395e-310,1.21205012731792e-310,1.10174436130048e-310,1.10183306258738e-310,1.10183306258738e-310,8.81385674654179e-311,1.54264576840431e-310,1.43242870567453e-310,1.43242207443759e-310,1.32211631043751e-310,1.21197468651521e-310,1.32219386177058e-310,1.2119767990408e-310,1.21205223786211e-310
5.50961855669776e-311,6.61178918399553e-311,5.50872101225826e-311,2.20447387933444e-311,0,5.50878732468305e-311,6.61097907756875e-311,6.61097907756875e-311,3.30602115882783e-311,3.30595484645838e-311,5.50872101625031e-311,9.91518930199338e-311,1.10166060592007e-310,1.10166060592561e-310,9.91436911958885e-311,8.81377306285338e-311,7.71237419505753e-311,7.71449619071114e-311,7.71367549021159e-311,9.91602737380942e-311,1.10182643336395e-310,1.21205012731792e-310,1.10174436130048e-310,1.10183306258738e-310,1.10183306258738e-310,8.81385674654179e-311,1.54264576840431e-310,1.43242870567453e-310,1.43242207443759e-310,1.32211631043751e-310,1.21197468651521e-310,1.32219386177058e-310,1.2119767990408e-310,1.21205223786211e-310
6.61110269253741e-311,7.71327331983518e-311,6.6102051480979e-311,5.50878732468305e-311,5.50878732468305e-311,0,3.3050242311657e-311,3.3050242311657e-311,2.20289879059412e-311,4.40730635755911e-311,6.61020515208995e-311,1.1016673437833e-310,1.21180901950404e-310,1.21180901950957e-310,1.10158532554285e-310,9.91525719869302e-311,8.81385833089718e-311,8.81598032655079e-311,8.81515962605124e-311,1.10175115096491e-310,1.21197484694791e-310,1.32219854090189e-310,1.21189277488444e-310,1.21198147617134e-310,1.21198147617134e-310,9.91534088238144e-311,1.65279418198827e-310,1.5425771192585e-310,1.54257048802155e-310,1.43226472402148e-310,1.32212310009917e-310,1.43234227535454e-310,1.32212521262477e-310,1.32220065144608e-310
7.71329444542311e-311,8.81546507272088e-311,7.7123969009836e-311,6.61097907756875e-311,6.61097907756875e-311,3.3050242311657e-311,0,2.20447387933444e-311,3.30509054347982e-311,5.50949811044481e-311,7.71239690497565e-311,1.21188651907187e-310,1.32202819479261e-310,1.32202819479814e-310,1.21180450083142e-310,1.10174489515787e-310,9.91605008378287e-311,9.91817207943649e-311,9.91735137893694e-311,1.21197032625348e-310,1.32219402223648e-310,1.43241771619046e-310,1.32211195017301e-310,1.32220065145991e-310,1.32220065145991e-310,1.10175326352671e-310,1.76301335727684e-310,1.65279629454707e-310,1.65278966331012e-310,1.54248389931005e-310,1.43234227538774e-310,1.54256145064311e-310,1.43234438791334e-310,1.43241982673465e-310
7.71329444542311e-311,8.81546507272088e-311,7.7123969009836e-311,6.61097907756875e-311,6.61097907756875e-311,3.3050242311657e-311,2.20447387933444e-311,0,3.30509054347982e-311,5.50949811044481e-311,7.71239690497565e-311,1.21188651907187e-310,1.32202819479261e-310,1.32202819479814e-310,1.21180450083142e-310,1.10174489515787e-310,9.91605008378287e-311,9.91817207943649e-311,9.91735137893694e-311,1.21197032625348e-310,1.32219402223648e-310,1.43241771619046e-310,1.32211195017301e-310,1.32220065145991e-310,1.32220065145991e-310,1.10175326352671e-310,1.76301335727684e-310,1.65279629454707e-310,1.65278966331012e-310,1.54248389931005e-310,1.43234227538774e-310,1.54256145064311e-310,1.43234438791334e-310,1.43241982673465e-310
4.4083365266822e-311,5.51050715397996e-311,4.40743898224269e-311,3.30602115882783e-311,3.30602115882783e-311,2.20289879059412e-311,3.30509054347982e-311,3.30509054347982e-311,0,2.2045401917039e-311,4.40743898623474e-311,8.81390727197781e-311,9.91532402918517e-311,9.9153240292405e-311,8.81308708957328e-311,7.71249103283781e-311,6.61109216504196e-311,6.61321416069558e-311,6.61239346019602e-311,8.81474534379385e-311,9.91698230362389e-311,1.10192192431636e-310,9.91616158298919e-311,9.9170485958582e-311,9.9170485958582e-311,7.71257471652622e-311,1.43251756540275e-310,1.32230050267298e-310,1.32229387143603e-310,1.21198810743595e-310,1.10184648351365e-310,1.21206565876902e-310,1.10184859603925e-310,1.10192403486056e-310
4.40827021431274e-311,5.51044084161051e-311,4.40737266987323e-311,3.30595484645838e-311,3.30595484645838e-311,4.40730635755911e-311,5.50949811044481e-311,5.50949811044481e-311,2.2045401917039e-311,0,4.40737267386528e-311,8.81384095960836e-311,9.91525771681571e-311,9.91525771687105e-311,8.81302077720382e-311,7.71242472046835e-311,6.61102585267251e-311,6.61314784832612e-311,6.61232714782657e-311,8.8146790314244e-311,9.91691599125444e-311,1.10191529307942e-310,9.91609527061973e-311,9.91698228348874e-311,9.91698228348874e-311,7.71250840415677e-311,1.43251093416581e-310,1.32229387143603e-310,1.32228724019909e-310,1.21198147619901e-310,1.10183985227671e-310,1.21205902753208e-310,1.1018419648023e-310,1.10191740362361e-310
